Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C24, C4, C64",0402,4,1uF,C1518208
"C10, C11, C19, C22, C25, C26, C27, C28, C29, C30, C31, C32, C40, C46, C47, C48, C49, C50, C51, C54, C6, C66, C7, C8, C81, C9, C90, C91, C92",0402,29,100nF,C1525
"C12, C13",0402,2,10uF,C315248
"C14, C15",0402,2,1.2pF,C76899
"C16, C17",0402,2,12pF,C106201
"C18, C20, C33, C34, C35, C36, C37, C38, C39, C82",0402,10,100pF,C1546
"C2, C21, C23, C80, C84, C85, C86, C87",0805,8,10uF,C440198
"C3, C42, C43, C44, C45, C5, C55, C56, C57, C78, C79, C83, C93",1210,13,47uF,C2932477
C41,0402,1,220pF,C107001
"C52, C53",0402,2,10nF,C15195
"C62, C63, C65, C67, C68, C69",0402,6,33pF,C107005
"D1, D10",D_SMA,2,SMAJ28CA,C148228
"D11, D6, D9",D_SMA,3,SS34,C727060
D12,D_SOD-123,1,5V1,C173407
"D2, D3, D5, D8",0402,4,LTST-C281KRKT,C364556
ENC1,HAMMOND_1551XFLGY,1,Hammond_1551XFLGY,
FB1,0603,1,68nH,C76893
J1,USB-3.1-SMD_U262-161N-4BVC11,1,USB_C_Receptacle_USB2.0_16P,C319148
"J10, J2, J3, J6, J8",CONN-TH_DB301V-3.5-2P-GN,5,Conn_01x02,C695629
"J4, J5",SMA-SMD_BWSMA-KE-P001,2,Conn_Coaxial,C496550
J7,RJ45-TH_RC01812,1,8P8C_LED_Shielded,C708645
J9,SIM-SMD_NANO-SIM-TL6P-H1.35,1,SIM_NANO_Socket,C7529385
"K1, K2",RELAY-SMD_G6K-2F-X-XX,2,G6K-2F-Y-TR DC5,C47190
"L1, L2",0402,2,2.2nH,C91240
"L4, L5, L6",L_Changjiang_FTC404030S,3,4.7uH,C39676083
"LP1, LP2, LP3",FIX-LEMB2-4.8V0-F,3,FIX-LEMB2-4.8V0-F,
"Q1, Q2",SOT-23-3,2,AO3401A,C15127
"Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18",SOT-23-3,8,SI2308A,C347491
"Q7, Q8",SOT-23-3,2,BC817-40-7-F,C435867
"R10, R11, R12, R13, R15, R16, R17",0402,7,22R,C25092
"R18, R44",0402,2,120R,C25079
"R2, R30, R48, R55, R56, R59, R6, R71",0402,8,22K,C25768
"R20, R29, R3, R4, R5, R57, R60",0402,7,1K,C11702
"R21, R22, R31, R35, R36, R45, R51, R52, R61, R69",0402,10,10K,C25744
"R25, R26, R27, R28, R33, R34, R39, R47, R62, R70, R72",0402,11,100K,C25741
"R37, R38, R40",0402,3,374K,C25781
"R42, R43, R49, R8, R9",0402,5,5K1,C25905
R46,0402,1,0R,C17168
R50,0805,1,120R,C17437
R58,0402,1,162K,C54068
R7,0402,1,118K,C25748
SW1,SW-SMD_TS24CA,1,TS24CA,C393942
SW2,SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0-H7.0,1,KH-6X6X7H-STM,C2837533
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,20,TestPoint,
U1,VQFN-40-1EP_5x5mm_P0.4mm_EP3.3x3.3mm_ThermalVias,1,ESP32-C6,C5364646
"U10, U7, U8, U9",UQFN-16_1.8x2.6mm_P0.4mm,4,TMUX1208RSVR,C2673274
"U14, U19, U4",SOT-23-6,3,TPS54302DDCR,C311983
U15,VQFN-14_L3.5-W3.5-P0.50-BL-EP-ThermalVias,1,TXS0104ERGYR,C154926
U16,XCVR_LE910R1-EU,1,LE910R1,
"U17, U18, U20",LED-SMD_4P-L1.3-W1.3-P0.80_WS2812E-1313,3,WS2812,C5446700
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485,C8963
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q64JVSSIQ,C179171
"U5, U6",QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,2,PCF8574RGTR(UMW),C22396384
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,C37635390
